shape_id,latitude,longitude,shape_pt_sequence,shape_dist_traveled
3S:767#23744#23777,-41.288783,174.726761,391,8396.174604951688
3S:767#23744#23777,-41.288816,174.72682,392,8402.316355256482
3S:767#23744#23777,-41.288852,174.72691,393,8410.830421555076
3S:767#23744#23777,-41.288901,174.727077,394,8425.800789931696
3S:767#23744#23777,-41.288952,174.727249,395,8441.241552142264
3S:767#23744#23777,-41.289263,174.727049,396,8479.627388940342
3S:767#23744#23777,-41.2894983,174.7269117,397,8508.179863942298
3S:767#23744#23777,-41.28955875,174.7270153,398,8519.132913408617
3S:767#23744#23777,-41.2894983,174.7269117,399,8530.085962874937
3S:767#23744#23777,-41.289786,174.726744,400,8564.991298057435
3S:767#23744#23777,-41.290247,174.726434,401,8622.391866634407
3S:767#23744#23777,-41.29058,174.726179,402,8665.08763070686
3S:767#23744#23777,-41.2906097,174.7261553,403,8668.93709291222
3S:767#23744#23777,-41.29065173,174.7262082,404,8675.36532409719
3S:767#23744#23777,-41.2906097,174.7261553,405,8681.793555282162
3S:767#23744#23777,-41.290775,174.726024,406,8703.186933684983
3S:767#23744#23777,-41.291204,174.725624,407,8761.398744033211
3S:767#23744#23777,-41.29136,174.725498,408,8781.6782653373
3S:767#23744#23777,-41.291496,174.725376,409,8799.904804468482
3S:767#23744#23777,-41.291555,174.725344,410,8806.984828925013
3S:767#23744#23777,-41.291696,174.72527,411,8823.829040603006
3S:767#23744#23777,-41.291792,174.72523,412,8835.008654539624
3S:767#23744#23777,-41.291904,174.725198,413,8847.738802767091
3S:767#23744#23777,-41.291958,174.72519,414,8853.777074542202
3S:767#23744#23777,-41.292043,174.725184,415,8863.23679573898
3S:767#23744#23777,-41.292039,174.725103,416,8870.014738996186
3S:767#23744#23777,-41.292021,174.72496,417,8882.121808058902
3S:767#23744#23777,-41.292002,174.724875,418,8889.527490611374
3S:767#23744#23777,-41.291975,174.724789,419,8897.310152010405
3S:767#23744#23777,-41.2919457,174.724735,420,8902.87190532307
3S:767#23744#23777,-41.29202555,174.7246919,421,8912.447497940731
3S:767#23744#23777,-41.2919457,174.724735,422,8922.023090558392
